symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
10822,GBDC,2014-03-05,19.1,19.24,19.04,19.18,7.003,227000,0.0,1.0,2025-07-09 11:48:26.008009,2025-07-09 11:48:26.008009
2105,KSS,2019-04-09,72.39,73.03,72.21,72.45,50.0638,1907970,0.0,1.0,2025-07-09 08:42:01.275400,2025-07-09 08:42:01.275400
10702,EFSC,2006-02-27,26.71,26.95,26.152,26.75,19.7431,4400,0.0,1.0,2025-07-09 11:39:58.841119,2025-07-09 11:39:58.841119
8600,BANF,2012-07-27,40.89,41.62,40.46,41.6,15.8214,13300,0.0,1.0,2025-07-09 11:01:07.280736,2025-07-09 11:01:07.280736
5447,SOHU,2010-10-11,59.12,60.3,58.54,59.24,59.24,573400,0.0,1.0,2025-07-09 10:36:57.575011,2025-07-09 10:36:57.575011
913,RBCAA,2009-01-07,27.08,27.24,25.7,26.04,15.4873,44800,0.0,1.0,2025-07-09 12:35:41.729065,2025-07-09 12:35:41.729065
2594,MHNC,2023-11-07,18.25,18.605,18.12,18.12,14.9811,1257,0.0,1.0,2025-07-09 10:00:58.983654,2025-07-09 10:00:58.983654
7329,AME,2004-12-29,35.7,36.15,35.59,35.68,9.268,283763,0.0,1.0,2025-07-09 09:12:40.783067,2025-07-09 09:12:40.783067
6668,DRD,2018-03-13,2.98,3.1,2.94,3.07,2.2636,62054,0.0,1.0,2025-07-09 08:48:35.775341,2025-07-09 08:48:35.775341
1198,PENN,2012-09-21,42.0,42.286,41.66,41.91,9.703,3299100,0.0,1.0,2025-07-09 12:14:32.461026,2025-07-09 12:14:32.461026
8847,IBN,2022-11-30,23.6,23.75,23.33,23.72,23.3281,8627230,0.0,1.0,2025-07-09 09:48:33.766065,2025-07-09 09:48:33.766065
4494,SBR,2016-12-09,36.3,36.7,35.405,36.6,17.9168,31139,0.0,1.0,2025-07-09 08:38:41.689774,2025-07-09 08:38:41.689774
7602,ADP,2019-01-09,131.86,131.86,129.47,131.42,114.4738,1844526,0.0,1.0,2025-07-09 13:00:56.415082,2025-07-09 13:00:56.415082
3027,UNB,2014-09-02,24.72,24.99,24.72,24.99,15.9704,3200,0.0,1.0,2025-07-09 11:05:56.793956,2025-07-09 11:05:56.793956
1875,KOPN,2014-10-23,3.24,3.33,3.24,3.29,3.29,160848,0.0,1.0,2025-07-09 13:00:12.383466,2025-07-09 13:00:12.383466
